my,year,value_x,value_y,crisis,exch_usd
01/2012,2012,100.3228,3.4476,0,78.1025
01/2012,2012,100.3228,3.4476,0,95.82588521
01/2012,2012,100.3228,3.4476,0,4.915
01/2012,2012,100.3228,3.4476,0,0.961076406
01/2012,2012,100.3228,3.4476,0,0.76
01/2012,2012,100.3228,3.4476,1,0.76
01/2012,2012,100.3228,3.4476,0,6.91
01/2012,2012,100.3228,3.4476,0,2.0429
01/2012,2012,100.3228,3.4476,0,0.9921
01/2012,2012,100.3228,3.4476,0,497.1631044
01/2012,2012,100.3228,3.4476,0,478.26
01/2012,2012,100.3228,3.4476,0,6.2301
01/2012,2012,100.3228,3.4476,0,1766
01/2012,2012,100.3228,3.4476,0,511.384
01/2012,2012,100.3228,3.4476,0,0
01/2012,2012,100.3228,3.4476,1,5.6591
01/2012,2012,100.3228,3.4476,0,40.3645
01/2012,2012,100.3228,3.4476,0,25000
01/2012,2012,100.3228,3.4476,0,6.3057
01/2012,2012,100.3228,3.4476,0,8.7475
01/2012,2012,100.3228,3.4476,0,0.76
01/2012,2012,100.3228,3.4476,1,0.7577
01/2012,2012,100.3228,3.4476,0,0.76
01/2012,2012,100.3228,3.4476,0,1.88
01/2012,2012,100.3228,3.4476,1,0.76
01/2012,2012,100.3228,3.4476,0,7.89494
01/2012,2012,100.3228,3.4476,0,19.96
01/2012,2012,100.3228,3.4476,1,220.93
01/2012,2012,100.3228,3.4476,1,128.99
01/2012,2012,100.3228,3.4476,0,54.7773
01/2012,2012,100.3228,3.4476,0,9670
01/2012,2012,100.3228,3.4476,1,0.76
01/2012,2012,100.3228,3.4476,0,86.55
01/2012,2012,100.3228,3.4476,0,86.0008
01/2012,2012,100.3228,3.4476,0,1070.6
01/2012,2012,100.3228,3.4476,0,3.05825
01/2012,2012,100.3228,3.4476,0,30.52
01/2012,2012,100.3228,3.4476,0,13.0101
01/2012,2012,100.3228,3.4476,0,8.4335
01/2012,2012,100.3228,3.4476,0,855
01/2012,2012,100.3228,3.4476,1,0.76
01/2012,2012,100.3228,3.4476,0,1.219066195
01/2012,2012,100.3228,3.4476,0,24.1255
01/2012,2012,100.3228,3.4476,1,155.27
01/2012,2012,100.3228,3.4476,0,5.57
01/2012,2012,100.3228,3.4476,0,1
01/2012,2012,100.3228,3.4476,0,4288.8
01/2012,2012,100.3228,3.4476,0,2.55
01/2012,2012,100.3228,3.4476,0,41.192
01/2012,2012,100.3228,3.4476,0,3.0996
01/2012,2012,100.3228,3.4476,1,0.76
01/2012,2012,100.3228,3.4476,1,30.3727
01/2012,2012,100.3228,3.4476,0,1.2235
01/2012,2012,100.3228,3.4476,0,8.50115
01/2012,2012,100.3228,3.4476,1,0.76
01/2012,2012,100.3228,3.4476,0,127.16
01/2012,2012,100.3228,3.4476,0,0.76
01/2012,2012,100.3228,3.4476,0,29.045
01/2012,2012,100.3228,3.4476,0,30.6316
01/2012,2012,100.3228,3.4476,0,1.5506
01/2012,2012,100.3228,3.4476,0,1.796000944
01/2012,2012,100.3228,3.4476,1,0.633046989
01/2012,2012,100.3228,3.4476,0,1.6251
01/2012,2012,100.3228,3.4476,0,19.399
01/2012,2012,100.3228,3.4476,0,4.29465
01/2012,2012,100.3228,3.4476,0,5.1466133
01/2012,2012,100.3228,3.4476,0,361.9
01/2013,2013,94.87180952380955,3.3992500000000003,0,78.1487013
01/2013,2013,94.87180952380955,3.3992500000000003,0,97.56
01/2013,2013,94.87180952380955,3.3992500000000003,0,6.517
01/2013,2013,94.87180952380955,3.3992500000000003,0,1.128
01/2013,2013,94.87180952380955,3.3992500000000003,0,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,1,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,0,6.91
01/2013,2013,94.87180952380955,3.3992500000000003,0,2.3538
01/2013,2013,94.87180952380955,3.3992500000000003,0,1.062
01/2013,2013,94.87180952380955,3.3992500000000003,0,475.6413603
01/2013,2013,94.87180952380955,3.3992500000000003,0,525.3
01/2013,2013,94.87180952380955,3.3992500000000003,0,6.0537
01/2013,2013,94.87180952380955,3.3992500000000003,0,1929
01/2013,2013,94.87180952380955,3.3992500000000003,0,500.635
01/2013,2013,94.87180952380955,3.3992500000000003,0,0
01/2013,2013,94.87180952380955,3.3992500000000003,1,5.4127
01/2013,2013,94.87180952380955,3.3992500000000003,0,42.85
01/2013,2013,94.87180952380955,3.3992500000000003,0,25000
01/2013,2013,94.87180952380955,3.3992500000000003,0,6.94
01/2013,2013,94.87180952380955,3.3992500000000003,0,8.7475
01/2013,2013,94.87180952380955,3.3992500000000003,0,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,1,0.7274
01/2013,2013,94.87180952380955,3.3992500000000003,0,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,0,2.2
01/2013,2013,94.87180952380955,3.3992500000000003,1,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,0,7.85
01/2013,2013,94.87180952380955,3.3992500000000003,0,20.6
01/2013,2013,94.87180952380955,3.3992500000000003,1,216.1902597
01/2013,2013,94.87180952380955,3.3992500000000003,1,115.55
01/2013,2013,94.87180952380955,3.3992500000000003,0,61.897
01/2013,2013,94.87180952380955,3.3992500000000003,0,12189
01/2013,2013,94.87180952380955,3.3992500000000003,1,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,0,105.3
01/2013,2013,94.87180952380955,3.3992500000000003,0,86.31
01/2013,2013,94.87180952380955,3.3992500000000003,0,1055.4
01/2013,2013,94.87180952380955,3.3992500000000003,0,3.294006494
01/2013,2013,94.87180952380955,3.3992500000000003,0,30.12512987
01/2013,2013,94.87180952380955,3.3992500000000003,0,13.0765
01/2013,2013,94.87180952380955,3.3992500000000003,0,8.15
01/2013,2013,94.87180952380955,3.3992500000000003,0,988
01/2013,2013,94.87180952380955,3.3992500000000003,1,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,0,1.22488961
01/2013,2013,94.87180952380955,3.3992500000000003,0,25.33
01/2013,2013,94.87180952380955,3.3992500000000003,1,155.2
01/2013,2013,94.87180952380955,3.3992500000000003,0,6.08
01/2013,2013,94.87180952380955,3.3992500000000003,0,1
01/2013,2013,94.87180952380955,3.3992500000000003,0,4524
01/2013,2013,94.87180952380955,3.3992500000000003,0,2.79
01/2013,2013,94.87180952380955,3.3992500000000003,0,44.56428571
01/2013,2013,94.87180952380955,3.3992500000000003,0,3.012
01/2013,2013,94.87180952380955,3.3992500000000003,1,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,1,32.7292
01/2013,2013,94.87180952380955,3.3992500000000003,0,1.2653
01/2013,2013,94.87180952380955,3.3992500000000003,0,10.48985
01/2013,2013,94.87180952380955,3.3992500000000003,1,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,0,130.75
01/2013,2013,94.87180952380955,3.3992500000000003,0,0.73
01/2013,2013,94.87180952380955,3.3992500000000003,0,29.815
01/2013,2013,94.87180952380955,3.3992500000000003,0,32.93402597
01/2013,2013,94.87180952380955,3.3992500000000003,0,1.653095696
01/2013,2013,94.87180952380955,3.3992500000000003,0,1.903768242
01/2013,2013,94.87180952380955,3.3992500000000003,1,0.639660578
01/2013,2013,94.87180952380955,3.3992500000000003,0,1.6556
01/2013,2013,94.87180952380955,3.3992500000000003,0,21.38902597
01/2013,2013,94.87180952380955,3.3992500000000003,0,6.2921
01/2013,2013,94.87180952380955,3.3992500000000003,0,5.52
01/2013,2013,94.87180952380955,3.3992500000000003,0,361.9
01/2014,2014,94.86657142857143,3.42225,0,87.9706983
01/2014,2014,94.86657142857143,3.42225,0,101.49
01/2014,2014,94.86657142857143,3.42225,0,8.5402
01/2014,2014,94.86657142857143,3.42225,0,1.22
01/2014,2014,94.86657142857143,3.42225,0,0.82
01/2014,2014,94.86657142857143,3.42225,1,0.82
01/2014,2014,94.86657142857143,3.42225,0,6.91
01/2014,2014,94.86657142857143,3.42225,0,2.6556
01/2014,2014,94.86657142857143,3.42225,0,1.1618
01/2014,2014,94.86657142857143,3.42225,0,540.2825138
01/2014,2014,94.86657142857143,3.42225,0,607.38
01/2014,2014,94.86657142857143,3.42225,0,6.21
01/2014,2014,94.86657142857143,3.42225,0,2388
01/2014,2014,94.86657142857143,3.42225,0,540.085
01/2014,2014,94.86657142857143,3.42225,0,0
01/2014,2014,94.86657142857143,3.42225,1,6.1214
01/2014,2014,94.86657142857143,3.42225,0,43.83
01/2014,2014,94.86657142857143,3.42225,0,25000
01/2014,2014,94.86657142857143,3.42225,0,7.15
01/2014,2014,94.86657142857143,3.42225,0,8.745
01/2014,2014,94.86657142857143,3.42225,0,0.82
01/2014,2014,94.86657142857143,3.42225,1,0.8264
01/2014,2014,94.86657142857143,3.42225,0,0.82
01/2014,2014,94.86657142857143,3.42225,0,3.2
01/2014,2014,94.86657142857143,3.42225,1,0.82
01/2014,2014,94.86657142857143,3.42225,0,7.65
01/2014,2014,94.86657142857143,3.42225,0,21.11
01/2014,2014,94.86657142857143,3.42225,1,259.2061476
01/2014,2014,94.86657142857143,3.42225,1,126.9369917
01/2014,2014,94.86657142857143,3.42225,0,63.3315
01/2014,2014,94.86657142857143,3.42225,0,12440
01/2014,2014,94.86657142857143,3.42225,1,0.82
01/2014,2014,94.86657142857143,3.42225,0,120.64
01/2014,2014,94.86657142857143,3.42225,0,89.35
01/2014,2014,94.86657142857143,3.42225,0,1099.2
01/2014,2014,94.86657142857143,3.42225,0,3.496023143
01/2014,2014,94.86657142857143,3.42225,0,31.7374584
